,id,relid,year,type_of_violence,country,country_id,fatality_best_estimate,gwnoa,gwnob,conflict_event,iso
80903,416244,DRC-2021-3-934-81,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-10-03 00:00:00.000,COD
80904,417487,DRC-2021-3-934-83,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-10-11 00:00:00.000,COD
80905,419544,DRC-2021-3-934-84,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-10-27 00:00:00.000,COD
80906,419556,DRC-2021-3-934-85,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-10-28 00:00:00.000,COD
80907,421029,DRC-2021-3-934-89,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-11-07 00:00:00.000,COD
80908,423700,DRC-2021-3-934-102,2021,3.0,DR Congo (Zaire),490.0,2.0,490.0,,2021-11-08 00:00:00.000,COD
80909,422879,DRC-2021-3-934-91,2021,3.0,DR Congo (Zaire),490.0,2.0,490.0,,2021-11-10 00:00:00.000,COD
80910,422883,DRC-2021-3-934-92,2021,3.0,DR Congo (Zaire),490.0,2.0,490.0,,2021-11-12 00:00:00.000,COD
80911,422899,DRC-2021-3-934-93,2021,3.0,DR Congo (Zaire),490.0,4.0,490.0,,2021-11-14 00:00:00.000,COD
80912,422903,DRC-2021-3-934-94,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-11-14 00:00:00.000,COD
80913,423796,DRC-2021-3-934-103,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-11-14 00:00:00.000,COD
80914,437049,DRC-2021-3-934-111,2021,3.0,DR Congo (Zaire),490.0,4.0,490.0,,2021-11-15 00:00:00.000,COD
80915,422913,DRC-2021-3-934-95,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-11-16 00:00:00.000,COD
80916,422923,DRC-2021-3-934-96,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-11-18 00:00:00.000,COD
80917,423118,DRC-2021-3-934-97,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-11-26 00:00:00.000,COD
80918,423133,DRC-2021-3-934-98,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-11-28 00:00:00.000,COD
80919,423136,DRC-2021-3-934-99,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-11-29 00:00:00.000,COD
80920,423142,DRC-2021-3-934-100,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-11-29 00:00:00.000,COD
80921,423144,DRC-2021-3-934-101,2021,3.0,DR Congo (Zaire),490.0,3.0,490.0,,2021-11-30 00:00:00.000,COD
80922,425044,DRC-2021-3-934-104,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-12-09 00:00:00.000,COD
80923,425199,DRC-2021-3-934-105,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-12-24 00:00:00.000,COD
80924,425202,DRC-2021-3-934-106,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-12-25 00:00:00.000,COD
80925,426179,DRC-2021-3-934-109,2021,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2021-12-25 00:00:00.000,COD
80926,425245,DRC-2022-3-934-0,2022,3.0,DR Congo (Zaire),490.0,2.0,490.0,,2022-01-02 00:00:00.000,COD
80927,425329,DRC-2022-3-934-1,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-01-03 00:00:00.000,COD
80928,426202,DRC-2022-3-934-2,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-01-05 00:00:00.000,COD
80929,426210,DRC-2022-3-934-3,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-01-07 00:00:00.000,COD
80930,426216,DRC-2022-3-934-5,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-01-08 00:00:00.000,COD
80931,427533,DRC-2022-3-934-6,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-01-14 00:00:00.000,COD
80932,427685,DRC-2022-3-934-10,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-01-15 00:00:00.000,COD
80933,427692,DRC-2022-3-934-11,2022,3.0,DR Congo (Zaire),490.0,2.0,490.0,,2022-01-16 00:00:00.000,COD
80934,436083,DRC-2022-3-934-34,2022,3.0,DR Congo (Zaire),490.0,3.0,490.0,,2022-01-18 00:00:00.000,COD
80935,436087,DRC-2022-3-934-35,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-01-22 00:00:00.000,COD
80936,436123,DRC-2022-3-934-36,2022,3.0,DR Congo (Zaire),490.0,0.0,490.0,,2022-01-29 00:00:00.000,COD
80937,430530,DRC-2022-3-934-19,2022,3.0,DR Congo (Zaire),490.0,3.0,490.0,,2022-02-09 00:00:00.000,COD
80938,430375,DRC-2022-3-934-17,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-02-13 00:00:00.000,COD
80939,429987,DRC-2022-3-934-12,2022,3.0,DR Congo (Zaire),490.0,4.0,490.0,,2022-02-13 00:00:00.000,COD
80940,430378,DRC-2022-3-934-18,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-02-16 00:00:00.000,COD
80941,430366,DRC-2022-3-934-16,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-02-24 00:00:00.000,COD
80942,434572,DRC-2022-3-934-27,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-03-02 00:00:00.000,COD
80943,434573,DRC-2022-3-934-28,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-03-03 00:00:00.000,COD
80944,434610,DRC-2022-3-934-29,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-03-04 00:00:00.000,COD
80945,434392,DRC-2022-3-934-24,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-03-04 00:00:00.000,COD
80946,434494,DRC-2022-3-934-25,2022,3.0,DR Congo (Zaire),490.0,0.0,490.0,,2022-03-06 00:00:00.000,COD
80947,434092,DRC-2022-3-934-30,2022,3.0,DR Congo (Zaire),490.0,5.0,490.0,,2022-03-15 00:00:00.000,COD
80948,434507,DRC-2022-3-934-95,2022,3.0,DR Congo (Zaire),490.0,2.0,490.0,,2022-03-17 00:00:00.000,COD
80949,434382,DRC-2022-3-934-22,2022,3.0,DR Congo (Zaire),490.0,0.0,490.0,,2022-03-18 00:00:00.000,COD
80950,434535,DRC-2022-3-934-26,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-03-20 00:00:00.000,COD
80951,434632,DRC-2022-3-934-31,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-03-22 00:00:00.000,COD
80952,434653,DRC-2022-3-934-32,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-03-23 00:00:00.000,COD
80953,436129,DRC-2022-3-934-37,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-03-24 00:00:00.000,COD
80954,434383,DRC-2022-3-934-23,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-03-27 00:00:00.000,COD
80955,434708,DRC-2022-3-934-33,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-04-02 00:00:00.000,COD
80956,436166,DRC-2022-3-934-38,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-04-14 00:00:00.000,COD
80957,436177,DRC-2022-3-934-39,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-04-17 00:00:00.000,COD
80958,436372,DRC-2022-3-934-41,2022,3.0,DR Congo (Zaire),490.0,5.0,490.0,,2022-04-17 00:00:00.000,COD
80959,436370,DRC-2022-3-934-40,2022,3.0,DR Congo (Zaire),490.0,5.0,490.0,,2022-04-18 00:00:00.000,COD
80960,444610,DRC-2022-3-934-67,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-05-08 00:00:00.000,COD
80961,440112,DRC-2022-3-934-46,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-05-08 00:00:00.000,COD
80962,440113,DRC-2022-3-934-47,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-05-08 00:00:00.000,COD
80963,441688,DRC-2022-3-934-50,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-05-16 00:00:00.000,COD
80964,441695,DRC-2022-3-934-51,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-05-19 00:00:00.000,COD
80965,441701,DRC-2022-3-934-52,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-05-20 00:00:00.000,COD
80966,441755,DRC-2022-3-934-54,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-06-07 00:00:00.000,COD
80967,442475,DRC-2022-3-934-58,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-06-08 00:00:00.000,COD
80968,441761,DRC-2022-3-934-55,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-06-09 00:00:00.000,COD
80969,441778,DRC-2022-3-934-56,2022,3.0,DR Congo (Zaire),490.0,1.0,490.0,,2022-06-11 00:00:00.000,COD
